 cost/client/h   , cpuUsage   , numberOfVMs   
0.96,35.54166666666667,7.0
0.96,33.43053333333333,7.0
0.96,33.43053333333333,7.0
0.96,33.261100000000006,7.0
0.6018666666666667,33.261100000000006,7.0
0.6018666666666667,33.3611,7.0
0.6484333333333333,37.583333333333336,7.0
0.6484333333333333,37.583333333333336,7.0
0.6484333333333333,41.81666666666666,7.0
0.96,38.84166666666667,7.0
0.96,39.958333333333336,7.0
0.6031,37.82776666666666,7.0
0.2860333333333333,41.0111,7.0
0.31006666666666666,41.8861,7.0
0.31006666666666666,43.269433333333325,7.0
0.6445666666666666,39.30276666666667,7.0
0.37333333333333335,42.002766666666666,7.0
0.37200000000000005,42.002766666666666,6.0
0.3668,49.319433333333336,6.0
0.014233333333333334,51.17776666666667,6.0
0.009,50.1611,6.0
0.0026666666666666666,51.29443333333333,6.0
0.002466666666666667,48.6611,6.0
0.004,44.74443333333333,6.0
0.012700000000000001,47.36110000000001,6.0
0.012466666666666668,45.61110000000001,6.0
0.005533333333333334,43.9111,6.0
0.006966666666666667,43.17776666666667,6.0
0.0067666666666666665,44.577766666666676,6.0
0.004133333333333333,47.4611,6.0
0.004299999999999999,48.42776666666667,6.0
0.003933333333333333,46.72776666666667,6.0
0.003933333333333333,46.72776666666667,6.0
0.07193333333333334,47.377766666666666,6.0
